YEAR	DATE	TIME	Hour	STREET1	STREET2	OFFSET	ROAD_CLASS	District	LATITUDE	LONGITUDE	LOCCOORD	ACCLOC	TRAFFCTL	VISIBILITY	LIGHT	RDSFCOND	ACCLASS	IMPACTYPE	INVTYPE	INVAGE	INJURY	FATAL_NO	INITDIR	VEHTYPE	MANOEUVER	DRIVACT	DRIVCOND	PEDTYPE	PEDACT	PEDCOND	CYCLISTYPE	CYCACT	CYCCOND	PEDESTRIAN	CYCLIST	AUTOMOBILE	MOTORCYCLE	TRUCK	TRSN_CITY_VEH	EMERG_VEH	PASSENGER	SPEEDING	AG_DRIV	REDLIGHT	ALCOHOL	DISABILITY	Division
2013	2013-04-13T04:00:00.000Z	1846	18	KENNEDY RD	401 C E KENNEDY RAMP RD E	 	Expressway	Scarborough	43.773146	-79.283893	Intersection	At Intersection	Traffic Signal	Clear	Dusk	Dry	Fatal	Cyclist Collisions	Cyclist	35 to 39	Fatal	10	North	Bicycle	Going Ahead	 	 	 	 	 	"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn."	Driving Properly	Unknown	 	Yes	Yes	 	 		 	Yes	Yes	Yes	Yes	Yes	 	41
2013	2013-12-04T05:00:00.000Z	1847	18	DUMONT ST	OTONABEE AVE	 	Local	North York	43.795355	-79.415706	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	61	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2013	2013-07-18T04:00:00.000Z	1850	18	185 FALLINGBROOK RD	 	 	Collector	Scarborough	43.684645	-79.280292	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	22	Unknown	 	 	 	 	Pedestrian hit at mid-block	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	41
2018	2018-09-18T04:00:00.000Z	1850	18	KEELE ST	AILEEN AVE	 	Major Arterial	Etobicoke York	43.683169	-79.472026	Intersection	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	40 to 44	Fatal	47	North	Motorcycle	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	12
2013	2013-01-10T05:00:00.000Z	1851	18	MORNINGSIDE AVE	OLD FINCH AVE	 	Minor Arterial	Scarborough	43.818743	-79.215091	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Turning Movement	Driver	70 to 74	Fatal	1	North	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	Yes	 	 	42
2018	2018-10-05T04:00:00.000Z	1852	18	708 SCARLETT RD	 	LEGGETT AVE	Major Arterial	Etobicoke York	43.695372	-79.520099	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	45 to 49	Fatal	51	South	Motorcycle	Going Ahead	Driving Properly	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	Yes	 	 	 	23
2018	2018-12-26T05:00:00.000Z	1853	18	4968 DUNDAS ST W	 	 	Major Arterial	Etobicoke York	43.647521	-79.529773	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	66	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	22
2012	2012-07-08T04:00:00.000Z	1855	18	SHEPPARD AVE W	WILSON HEIGHTS BLVD	 	Major Arterial	North York	43.751645	-79.45669	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	19	South	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	32
2017	2017-04-26T04:00:00.000Z	1857	18	LESLIE ST	CORNING RD	 	Major Arterial	North York	43.781909	-79.366107	Intersection	At/Near Private Drive	No Control	Clear	Daylight	Dry	Fatal	Angle	Motorcycle Driver	30 to 34	Fatal	20	South	Motorcycle	Going Ahead	Driving Properly	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	Yes	 	 	 	33
2013	2013-09-25T04:00:00.000Z	1859	18	STEELES AVE W	STEINWAY BLVD	 	Major Arterial	Etobicoke York	43.754172	-79.619815	Intersection	 	Stop Sign	Clear	"Dark, artificial"	Dry	Fatal	Turning Movement	Motorcycle Driver	55 to 59	Fatal	42	East	Motorcycle	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	23
2018	2018-06-02T04:00:00.000Z	1904	19	LAKE SHORE BLVD W	BRITISH COLUMBIA RD	 	Major Arterial	Toronto and East York	43.630686	-79.427638	Mid-Block	Non Intersection	No Control	 	Daylight	 	Fatal	Approaching	Motorcycle Driver	50 to 54	Fatal	28	East	Motorcycle	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	 	 	 	 	14
2014	2014-07-10T04:00:00.000Z	1909	19	BLOOR ST W	DUNDAS ST W	 	Minor Arterial	Toronto and East York	43.656863	-79.452602	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	13	East	 	 	 	 	Vehicle is reversing and hits pedestrian	Other	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	11
2011	2011-09-23T04:00:00.000Z	1912	19	MARTIN GROVE Road	DIXON Road	 	Major Arterial	Etobicoke York	43.691545	-79.57079	Intersection	At Intersection	Traffic Signal	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	25	East	Other	Other	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing marked crosswalk without ROW	Inattentive	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	23
2018	2018-03-02T05:00:00.000Z	1914	19	GREENCEDAR CRCT	DAPHNE RD	 	Collector	Scarborough	43.756827	-79.22932	Intersection	At Intersection	No Control	Other	Dark	Other	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	14	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2016	2016-01-03T05:00:00.000Z	1915	19	1400 KENNEDY RD	 	196 m North of	Major Arterial	Scarborough	43.764498	-79.280681	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	1	Unknown	 	 	 	 	Pedestrian hit at mid-block	Crossing without right of way	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	41
2015	2015-10-10T04:00:00.000Z	1919	19	ISLINGTON AVE	DEERFOOT RD	 	Major Arterial	Etobicoke York	43.685214	-79.541393	Intersection	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	50	Unknown	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	23
2016	2016-10-20T04:00:00.000Z	1922	19	EGLINTON AVE E	HANNA RD	 	Major Arterial	North York	43.712084	-79.372058	Intersection	Non Intersection	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	65	Unknown	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	53
2014	2014-10-16T04:00:00.000Z	1927	19	VICTORIA PARK AVE	EGLINTON AVE E	 	Major Arterial	Scarborough	43.725833	-79.303104	Mid-Block	 	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	35	West	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"33,41"
2016	2016-09-30T04:00:00.000Z	1928	19	EGLINTON AVE W	CHILTERN HILL RD	 	Major Arterial	Toronto and East York	43.700667	-79.427036	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	Over 95	Fatal	61	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	13
2009	2009-06-30T04:00:00.000Z	1930	19	5050 SHEPPARD AVE E	 	 	Major Arterial	Scarborough	43.793045	-79.24249	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	24	East	Other	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	 	 	 		 	 	 	Yes	 	 	 	42
2017	2017-03-18T04:00:00.000Z	1932	19	JARVIS ST	EARL PL	30 m South of	Major Arterial	Toronto and East York	43.667636	-79.378894	Mid-Block	Intersection Related	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	12	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Medical or Physical Disability	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	51
2018	2018-12-04T05:00:00.000Z	1932	19	MIDLAND AVE	DORCOT AVE	 	Major Arterial	Scarborough	43.758383	-79.267612	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	63	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	41
2008	2008-01-05T05:00:00.000Z	1935	19	SANDWELL DR	THE WESTWAY	 	Local	Etobicoke York	43.684345	-79.56499	Mid-Block	 	No Control	Clear	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	2	West	Other	 	 	 	Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block	Coming From Behind Parked Vehicle	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	23
2010	2010-12-11T05:00:00.000Z	1935	19	ST CLAIR AVE E	DANFORTH RD	 	Major Arterial	Scarborough	43.716845	-79.25989	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	40	East	Other	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	Crossing without right of way	Inattentive	 	 	 	Yes	 	 	 	 		 	 	 	 	 	 	 	41
2016	2016-01-17T05:00:00.000Z	1935	19	SHEPPARD AVE E	CHICHESTER PL	 	Major Arterial	Scarborough	43.775893	-79.320316	Intersection	At Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	4	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2015	2015-03-04T05:00:00.000Z	1935	19	MILLWICK DR	PLUNKETT RD	 	Minor Arterial	Etobicoke York	43.760417	-79.570071	Intersection	Intersection Related	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	9	South	 	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	31
2011	2011-08-31T04:00:00.000Z	1937	19	THE QUEENSWAY	CULNAN AVE	 	Major Arterial	Etobicoke York	43.621545	-79.52429	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Other	Passenger	75 to 79	Fatal	26	Unknown	Other	Other	 	 	 	 	 	 	 	 	 	 	 	 	 		 	Yes	 	 	 	 	 	22
2016	2016-10-02T04:00:00.000Z	1940	19	EGLINTON AVE E	MIDLAND AVE	 	Major Arterial	Scarborough	43.734049	-79.260188	Intersection	Non Intersection	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	59	South	 	 	 	 	Pedestrian hit at mid-block	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	41
2013	2013-10-05T04:00:00.000Z	1945	19	FINCH AVE W	WILMINGTON AVE	 	Major Arterial	North York	43.771441	-79.455066	Mid-Block	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	45	South	 	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Unknown	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	32
2016	2016-07-22T04:00:00.000Z	1948	19	ROYAL YORK RD	STRATH HUMBER CRT	12.5 M S of	Minor Arterial	Etobicoke York	43.661376	-79.517581	Intersection	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	30 to 34	Fatal	47	South	Motorcycle	Going Ahead	Exceeding Speed Limit	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	Yes	Yes	Yes	 	 	 	22
2016	2016-11-02T04:00:00.000Z	1948	19	486 COLLEGE ST	 	 	Major Arterial	Toronto and East York	43.656096	-79.409488	Mid-Block	Non Intersection	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	69	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	14
2009	2009-12-17T05:00:00.000Z	1950	19	BLOOR ST E	CASTLE FRANK CRES	 	Major Arterial	Toronto and East York	43.672945	-79.36929	Mid-Block	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	46	North	Other	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"51,53"
2017	2017-09-20T04:00:00.000Z	1953	19	BROADVIEW AVE	NEALON AVE	 	Minor Arterial	Toronto and East York	43.682852	-79.357181	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	42	West	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	54
2015	2015-09-20T04:00:00.000Z	2000	20	MIDLAND AVE	ELLESMERE RD	 	Major Arterial	Scarborough	43.767913	-79.271098	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Turning Movement	Passenger	80 to 84	Fatal	44	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	41
2014	2014-09-18T04:00:00.000Z	2001	20	ST CLAIR AVE W	DEER PARK CRES	 	Major Arterial	Toronto and East York	43.687525	-79.396793	Mid-Block	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	28	South	 	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	 	 	 		 	 	 	 	 	 	 	53
2015	2015-11-11T05:00:00.000Z	2004	20	LAWRENCE AVE W	JANE ST	5 m West of	Major Arterial	Etobicoke York	43.702868	-79.503825	Intersection	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	55	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	12
2017	2017-07-08T04:00:00.000Z	2007	20	BAYVIEW AVE	BLOOR W BAYVIEW N RAMP	240 m North of	Major Arterial	Toronto and East York	43.680995	-79.36806	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	35 to 39	Fatal	29	North	Motorcycle	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	 	 	 	 	53
2009	2009-09-11T04:00:00.000Z	2009	20	VICTORIA PARK AVE	ARNCLIFFE CRES	 	Major Arterial	Scarborough	43.731845	-79.30559	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	15 to 19	Fatal	26	East	Other	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"33,41"
2008	2008-06-11T04:00:00.000Z	2010	20	LAKE SHORE BLVD W	LONG BRANCH AVE	 	Major Arterial	Etobicoke York	43.594345	-79.53399	Intersection	At Intersection	Traffic Signal	Clear	Dusk	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	26	South	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	22
2013	2013-07-25T04:00:00.000Z	1346	13	HIGHWAY 27  N	FINCH AVE W	 	Major Arterial	Etobicoke York	43.73416	-79.603069	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	25	South	Other	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	23
2009	2009-01-06T05:00:00.000Z	1349	13	SHEPPARD AVE E	REAN DR	 	Major Arterial	North York	43.767745	-79.38309	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	2	North	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	33
2011	2011-07-24T04:00:00.000Z	1349	13	LAWRENCE AVE E	OVERTURE RD	 	Major Arterial	Scarborough	43.765445	-79.19949	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Approaching	Driver	65 to 69	Fatal	15	East	"Automobile, Station Wagon"	Going Ahead	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	43
2016	2016-05-24T04:00:00.000Z	1350	13	HIGHWAY 27  N	HUMBER COLLEGE BLVD	 	Major Arterial	Etobicoke York	43.727339	-79.600063	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Rear End	Driver	70 to 74	Fatal	32	North	"Automobile, Station Wagon"	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	 	Yes		 	Yes	Yes	Yes	 	 	 	23
2009	2009-09-15T04:00:00.000Z	1400	14	KIPLING AVE	ALBION RD	 	Major Arterial	Etobicoke York	43.738945	-79.57999	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	27	East	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	23
2009	2009-10-02T04:00:00.000Z	1400	14	BLOOR ST E	SHERBOURNE ST N	 	Major Arterial	Toronto and East York	43.672345	-79.37689	Intersection	 	Traffic Signal	Rain	Daylight	Wet	Fatal	Pedestrian Collisions	Pedestrian	40 to 44	Fatal	31	North	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"51,53"
2017	2017-04-06T04:00:00.000Z	1403	14	CLIFFSIDE DR	FOLCROFT AVE	10 m North of	Local	Scarborough	43.701213	-79.251239	Intersection	Intersection Related	No Control	Rain	Daylight	Wet	Fatal	Other	Passenger	55 to 59	Fatal	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes		 	Yes	 	 	 	 	 	41
2008	2008-03-15T04:00:00.000Z	1404	14	MOUNT PLEASANT RD	MOUNT PLEASANT BLOOR RAMP	 	Major Arterial	Toronto and East York	43.672345	-79.37959	Mid-Block	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	13	 	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Medical or Physical Disability	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	53
2015	2015-04-20T04:00:00.000Z	1405	14	1159 DUNDAS ST E	 	6 m West of	Minor Arterial	Toronto and East York	43.664443	-79.34238	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	19	Unknown	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	55
2018	2018-09-05T04:00:00.000Z	1405	14	TWENTY SIXTH ST	LABURNHAM AVE	17 meters south	Local	Etobicoke York	43.599353	-79.525653	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	44	Unknown	 	 	 	 	Pedestrian hit at mid-block	Pushing/Working on Vehicle	Unknown	 	 	 	Yes	 	 	 	Yes		 	 	 	 	 	 	 	22
2014	2014-10-09T04:00:00.000Z	1410	14	WARDEN AVE	MARBLE ARCH CRES	 	Major Arterial	Scarborough	43.735335	-79.290637	Intersection	Non Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	60 to 64	Fatal	32	East	Bicycle	Going Ahead	 	 	 	 	 	"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn."	Driving Properly	Normal	 	Yes	Yes	 	 		 	 	 	Yes	Yes	 	 	41
2016	2016-03-04T05:00:00.000Z	1411	14	JARVIS ST	QUEEN ST E	 	Major Arterial	Toronto and East York	43.65372	-79.373241	Intersection	Intersection Related	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	14	East	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Medical or Physical Disability	 	 	 	Yes	 	 	 	Yes		 	 	 	 	 	 	 	51
2016	2016-05-17T04:00:00.000Z	1414	14	JANE ST	TROUTBROOKE DR	 	Major Arterial	North York	43.731806	-79.511264	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	30 to 34	Fatal	31	North	Motorcycle	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	Yes	 	 	 	31
2016	2016-06-14T04:00:00.000Z	1415	14	BREMNER BLVD	SPADINA AVE	 	Minor Arterial	Toronto and East York	43.640692	-79.392284	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	36	Unknown	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	52
2009	2009-09-19T04:00:00.000Z	1418	14	ELLESMERE RD	DEWEY DR	 	Major Arterial	Scarborough	43.760345	-79.30449	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	85 to 89	Fatal	28	North	"Automobile, Station Wagon"	Turning Left	Failed to Yield Right of Way	Inattentive	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	Yes	 	 	 	41
2015	2015-12-02T05:00:00.000Z	1419	14	LAWRENCE AVE W	BATHURST ST	1 m West of	Major Arterial	North York	43.719248	-79.429813	Intersection	Intersection Related	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	90 to 94	Fatal	62	North	 	 	 	 	Vehicle turns left while ped crosses without ROW at inter.	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	"32,13,53"
2014	2014-11-27T05:00:00.000Z	1420	14	549 COLLEGE ST	 	 	Major Arterial	Toronto and East York	43.655574	-79.412013	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	SMV Other	Passenger	90 to 94	Fatal	45	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	14
2012	2012-05-15T04:00:00.000Z	1426	14	WESTON RD	STEELES AVE W	 	Major Arterial	Etobicoke York	43.770245	-79.54649	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	15	South	Other	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	 	 	Yes		 	 	 	Yes	 	 	 	31
2018	2018-07-30T04:00:00.000Z	1427	14	WARDEN AVE	FAIRFAX CRES	 	Major Arterial	Scarborough	43.716109	-79.282733	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	39	East	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	41
2012	2012-01-30T05:00:00.000Z	1428	14	STEELES AVE W	ISLINGTON AVE	 	Major Arterial	Etobicoke York	43.764346	-79.574893	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	75 to 79	Fatal	6	West	"Automobile, Station Wagon"	Turning Left	Lost control	Medical or Physical Disability	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	Yes	31
2009	2009-04-03T04:00:00.000Z	1429	14	JARVIS ST	WELLESLEY ST E	 	Major Arterial	Toronto and East York	43.666245	-79.37829	Intersection	At Intersection	Traffic Signal	Rain	Daylight	Wet	Fatal	Pedestrian Collisions	Pedestrian	90 to 94	Fatal	11	East	Other	 	 	 	Vehicle turns left while ped crosses without ROW at inter.	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	51
2016	2016-01-06T05:00:00.000Z	1429	14	BLACK CREEK DR	EGLINTON AVE W	13 m West of	Major Arterial	Etobicoke York	43.688357	-79.482868	Intersection	Intersection Related	Traffic Signal	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	90 to 94	Fatal	5	West	"Automobile, Station Wagon"	Going Ahead	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	12
2011	2011-06-17T04:00:00.000Z	1432	14	WEDGEWOOD DR	YONGE ST	 	Major Arterial	North York	43.788945	-79.41779	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	5 to 9	Fatal	10	South	Other	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	32
